stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
size;4;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;2;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;4;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;9;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;2;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;8;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;3;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;6;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;9;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;6;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;3;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;8;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;6;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;4;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;3;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;7;text;shifting_size.png;image;greater;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
size;4;text;shifting_size.png;image;less;single;ArrowLeft;shifting_less.png;image;less;0;ArrowRight;shifting_greater.png;image;greater;1
