stimulusType;stimulusValue;stimulusValueType;cueValue;cueValueType;correctResponse;shiftingType;keyCode1;keyLabel1;keyLabelType1;response1;keyIndex1;keyCode2;keyLabel2;keyLabelType2;response2;keyIndex2
parity;4;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;7;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;8;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;1;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;4;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;6;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;8;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;7;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;9;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;2;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;1;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;2;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;8;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;9;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;2;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;4;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;8;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;3;text;shifting_parity.png;image;odd;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
parity;2;text;shifting_parity.png;image;even;single;ArrowLeft;shifting_even.png;image;even;0;ArrowRight;shifting_odd.png;image;odd;1
