keyCount,stimulusType,stimulusValue,stimulusValueType,cueValue,cueValueType,correctResponse,shiftingType,keyCode1,response1,keyIndex1,keyCode2,response2,keyIndex2,keyCode3,response3,keyIndex3,keyCode4,response4,keyIndex4
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_3.png,image,cue_flowers.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_2.png,image,cue_cars.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_2.png,image,cue_flowers.png,image,top right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_1.png,image,cue_flowers.png,image,top left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,flowers,set_04_flower_4.png,image,cue_flowers.png,image,bottom left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_4.png,image,cue_cars.png,image,bottom left,switch,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_1.png,image,cue_cars.png,image,top left,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
4,cars,set_04_car_3.png,image,cue_cars.png,image,bottom right,repetition,Numpad1,bottom left,0,Numpad3,bottom right,1,Numpad7,top left,2,Numpad9,top right,3
